"","table_name","column_name","unit","description","comment"
"1","bemovi_mag_25__morph_mvt_non_cropped","timestamp",NA,NA,NA
"2","bemovi_mag_25__morph_mvt_non_cropped","file",NA,NA,NA
"3","bemovi_mag_25__morph_mvt_non_cropped","mean_grey",NA,NA,NA
"4","bemovi_mag_25__morph_mvt_non_cropped","sd_grey",NA,NA,NA
"5","bemovi_mag_25__morph_mvt_non_cropped","mean_area",NA,NA,NA
"6","bemovi_mag_25__morph_mvt_non_cropped","sd_area",NA,NA,NA
"7","bemovi_mag_25__morph_mvt_non_cropped","mean_perimeter",NA,NA,NA
"8","bemovi_mag_25__morph_mvt_non_cropped","sd_perimeter",NA,NA,NA
"9","bemovi_mag_25__morph_mvt_non_cropped","mean_major",NA,NA,NA
"10","bemovi_mag_25__morph_mvt_non_cropped","sd_major",NA,NA,NA
"11","bemovi_mag_25__morph_mvt_non_cropped","mean_minor",NA,NA,NA
"12","bemovi_mag_25__morph_mvt_non_cropped","sd_minor",NA,NA,NA
"13","bemovi_mag_25__morph_mvt_non_cropped","mean_ar",NA,NA,NA
"14","bemovi_mag_25__morph_mvt_non_cropped","sd_ar",NA,NA,NA
"15","bemovi_mag_25__morph_mvt_non_cropped","mean_turning",NA,NA,NA
"16","bemovi_mag_25__morph_mvt_non_cropped","sd_turning",NA,NA,NA
"17","bemovi_mag_25__morph_mvt_non_cropped","duration",NA,NA,NA
"18","bemovi_mag_25__morph_mvt_non_cropped","n_frames",NA,NA,NA
"19","bemovi_mag_25__morph_mvt_non_cropped","max_net",NA,NA,NA
"20","bemovi_mag_25__morph_mvt_non_cropped","net_disp",NA,NA,NA
"21","bemovi_mag_25__morph_mvt_non_cropped","net_speed",NA,NA,NA
"22","bemovi_mag_25__morph_mvt_non_cropped","gross_disp",NA,NA,NA
"23","bemovi_mag_25__morph_mvt_non_cropped","gross_speed",NA,NA,NA
"24","bemovi_mag_25__morph_mvt_non_cropped","max_step",NA,NA,NA
"25","bemovi_mag_25__morph_mvt_non_cropped","min_step",NA,NA,NA
"26","bemovi_mag_25__morph_mvt_non_cropped","sd_step",NA,NA,NA
"27","bemovi_mag_25__morph_mvt_non_cropped","sd_gross_speed",NA,NA,NA
"28","bemovi_mag_25__morph_mvt_non_cropped","max_gross_speed",NA,NA,NA
"29","bemovi_mag_25__morph_mvt_non_cropped","min_gross_speed",NA,NA,NA
"30","bemovi_mag_25__morph_mvt_non_cropped","id",NA,NA,NA
"31","bemovi_mag_25__morph_mvt_non_cropped","date",NA,NA,NA
"32","bemovi_mag_25__morph_mvt_non_cropped","bottle",NA,NA,NA
"33","bemovi_mag_25__morph_mvt_non_cropped","composition_id",NA,NA,NA
"34","bemovi_mag_25__morph_mvt_non_cropped","temperature_treatment",NA,NA,NA
"35","bemovi_mag_25__morph_mvt_non_cropped","magnification",NA,NA,NA
"36","bemovi_mag_25__morph_mvt_non_cropped","dilution_factor",NA,NA,NA
"37","bemovi_mag_25__morph_mvt_non_cropped","sample",NA,NA,NA
"38","bemovi_mag_25__morph_mvt_non_cropped","video",NA,NA,NA
"39","bemovi_mag_25__morph_mvt_non_cropped","species",NA,NA,NA
"40","bemovi_mag_25__morph_mvt_non_cropped","species_probability",NA,NA,NA
"41","bemovi_mag_25__morph_mvt_non_cropped","cryptomonas_prob",NA,NA,NA
"42","bemovi_mag_25__morph_mvt_non_cropped","debris_and_other_prob",NA,NA,NA
"43","bemovi_mag_25__morph_mvt_non_cropped","didinium_prob",NA,NA,NA
"44","bemovi_mag_25__morph_mvt_non_cropped","paramecium_bursaria_prob",NA,NA,NA
"45","bemovi_mag_25__morph_mvt_non_cropped","stylonychia1_prob",NA,NA,NA
"46","bemovi_mag_25__morph_mvt_non_cropped","tetrahymena_prob",NA,NA,NA
"47","bemovi_mag_25__morph_mvt_non_cropped","euplotes_prob",NA,NA,NA
"48","bemovi_mag_25__morph_mvt_non_cropped","paramecium_caudatum_prob",NA,NA,NA
"49","bemovi_mag_25__morph_mvt_non_cropped","loxocephallus_prob",NA,NA,NA
"50","bemovi_mag_25__morph_mvt_non_cropped","stylonychia2_prob",NA,NA,NA
"51","bemovi_mag_25__morph_mvt_non_cropped","dexiostoma_prob",NA,NA,NA
"52","bemovi_mag_25__morph_mvt_non_cropped","coleps_irchel_prob",NA,NA,NA
"53","bemovi_mag_25__morph_mvt_non_cropped","colpidium_prob",NA,NA,NA
